Incline Sit-up (arms crossed)|Abs|Rectus Abdominis|Sit-ups|Hook feet under foot brace and lie supine on incline board with hips bent. Cross arms on chest.Raise torso from bench by bending waist and hips. Raise crossed arms over knees at top. Return until back of shoulders contact incline board. Repeat.If no knee support is built in to incline board, ball can be placed under legs. If upper back does not come completely down at end of movement, abdominal muscles may only be|Basic|https://www.rocketdogrescue.org/wp-content/uploads/2016/08/dog-working-out.jpg|False
Lying Straight Leg Raise|Hip Flexors|Iliopsoas|Leg Raises|Lie supine on bench or mat. Place hands under lower buttock on each side to support pelvis.Keeping knees straight, raise legs by flexing hips until hips are completely flexed. Return until hips and knees are extended. Repeat.Rectus Abdominis and Obliques only|Basic|https://www.rocketdogrescue.org/wp-content/uploads/2016/08/dog-working-out.jpg|False
Cable Incline Fly|Upper Chest|Pectoralis Major, Clavicular|Cable|Sit on seat with stirrups in each hand (attached to low cable pulleys). Lie back on incline back support. Position stirrups out to each side of chest with bent arm under each wrist. Press stirrups over each shoulder until arms vertical. Bend elbows slightly and internally rotate shoulders so elbows point out to sides.Lower stirrups outward to sides of shoulders. Keep elbows fixed in slightly bent position. When a stretch is felt in chest or shoulders, bring stirrups back together in hugging motion above upper chest until stirrups are nearly together Repeat.|Basic|https://www.rocketdogrescue.org/wp-content/uploads/2016/08/dog-working-out.jpg|False
Band-assisted Pull-up|Lats|Latissimus Dorsi|Band-assisted|Grab each side of hanging exercise band with both hands. Stretch exercise band down and step onto bottom inside of band with one foot. Stretch band down further by extending leg straight down. Reach up and grasp bar with overhand wide grip while keeping banded leg straight.Pull body up until chin is above bar. Lower body until arms and shoulders are fully extended. Repeat.|Basic|https://www.rocketdogrescue.org/wp-content/uploads/2016/08/dog-working-out.jpg|False
Cable Reverse Calf Raise|Shin|Tibialis Anterior|Cable|Place cable belt or dip belt around waist. Kneel before low pulley and attach it to cable. Stand and position heels on forward edge of platform. Grasp support bar for balance.Pull forefeet up toward body as far as possible. Return by extending feet until toes are pointed downward. Repeat.|Basic|https://www.rocketdogrescue.org/wp-content/uploads/2016/08/dog-working-out.jpg|False
Dumbbell Lunge|Glute|Gluteus Maximus|Dumbbell|Stand with dumbbells grasped to sides.Lunge forward with first leg. Land on heel then forefoot. Lower body by flexing knee and hip of front leg until knee of rear leg is almost in contact with floor. Return to original standing position by forcibly extending hip and knee of forward leg. Repeat by alternating lunge with opposite leg.|Basic|https://www.rocketdogrescue.org/wp-content/uploads/2016/08/dog-working-out.jpg|False
Barbell Side Lunge|Glute|hip adductors|Barbell|bar from floor or dismount bar from rack. From rack with barbell upper chest height, position bar on back of shoulders and grasp barbell to sides.Lunge to one side with first leg. Land on heel, then on forefoot. Lower body by flexing knee and hip of lead leg, keeping knee pointed same direction of foot. Return to original standing position by forcibly extending hip and knee of lead leg. Repeat by alternating lunge with opposite leg.|Basic|https://www.rocketdogrescue.org/wp-content/uploads/2016/08/dog-working-out.jpg|False
Barbell Seated Good-morning|Glute|Gluteus Maximus|Barbell|Position barbell on back of shoulders and grasp bar to sides. Sit on end of bench or corner of box secured to floor. Position feet apart on floor with knees slightly bent.Keeping back straight, bend torso forward as low as possible by bending hips. Raise torso until torso is upright. Repeat.|Basic|https://www.rocketdogrescue.org/wp-content/uploads/2016/08/dog-working-out.jpg|False
Cable One Arm Reverse Wrist Curl|Wrist Extensors|Wrist Extensors|Cable|Sit and grasp cable stirrup. Rest forearm on thigh with palm facing down and with wrist just beyond knee.Raise stirrup by pointing knuckles upward as high as possible. Return until knuckles are pointing downward as far as possible. Repeat.|Basic|https://www.rocketdogrescue.org/wp-content/uploads/2016/08/dog-working-out.jpg|False
Close Grip Push-up (on knees)|Triceps|Triceps Brachii|Body Weight|Lie prone on floor with hands under shoulders or slightly narrower. Position body up off floor with extended arms and body straight.Keeping body straight, lower body to floor by bending arms. Push body up until arms are extended. Repeat.Both upper and lower body must be kept straight throughout movement. Forefeet can remain on floor as long as body is pivoting on knees. Also see|Basic|https://www.rocketdogrescue.org/wp-content/uploads/2016/08/dog-working-out.jpg|False
Suspended Row|Back|Trapezius, Middle|Suspended|Grasp suspension handles and momentarily step back until arms are extended forward and straight. While keeping arms straight and shoulders back, step forward so body reclines back behind suspension handles. Position body and legs straight at desired angle, hanging from handles with arms straight.Pull body up so sides of chest make contact with handles while keeping body and legs straight. Return until arms are extended straight and shoulders are stretched forward. Repeat.At higher angles, feet can be placed flat on floor. When angled further back, only heels may contact floor with forefeet raising upward. Dismounting can be achieved by walking backward until body is upright.This exercise can be performed on TRXⓇ style suspension trainer or adjustable length gymnastics rings. Also known as Suspended Body Row.Resistance is least when body is positioned upright at top of exercise. Movement can be made easier with staggered foot position by placing one foot slightly back.This movement can be made more challenging by placing feet more forward, thereby angling body back at initiation of movement. In which case, stance can be on heels with forefeet pointing upward. See|Basic|https://www.rocketdogrescue.org/wp-content/uploads/2016/08/dog-working-out.jpg|False
Dumbbell Decline Bench Press|Chest|Latissimus Dorsi|Dumbbell|Sit down on decline bench with feet under leg brace and dumbbells resting on thigh. Lie back with dumbbells. Position dumbbells to sides of chest with bent arm under each dumbbell.Press dumbbells up with elbows to sides until arms are extended. Lower weight to sides of chest until slight stretch is felt in chest or shoulder. Repeat.|Basic|https://www.rocketdogrescue.org/wp-content/uploads/2016/08/dog-working-out.jpg|False
Single Leg Split Squat|Quads|Quadriceps|Body Weight|Stand facing away from bench. Extend leg back and place top of foot on bench.Squat down by flexing knee and hip of front leg until knee of rear leg is almost in contact with floor. Return to original standing position by extending hip and knee of forward leg and repeat. Continue with opposite leg.|Basic|https://www.rocketdogrescue.org/wp-content/uploads/2016/08/dog-working-out.jpg|False
PNF Straight Leg Groin Stretch|Hip Adductors|Adductors, Hip|Stretch|Instruct participant to lie on floor or mat with legs positioned straight up, slightly apart. Grasp participant's ankle from inside.Spread legs down to sides and hold stretch.|Basic|https://www.rocketdogrescue.org/wp-content/uploads/2016/08/dog-working-out.jpg|False
Dumbbell Decline Triceps Extension|Triceps|Triceps Brachii|Dumbbell|Lie on decline bench and position dumbbells over shoulders with arms extended.Lower dumbbells by bending elbow until they are to sides of head; dumbbells touch shoulder. Extend arm. Repeat.|Basic|https://www.rocketdogrescue.org/wp-content/uploads/2016/08/dog-working-out.jpg|False
Lever Rear Pulldown (plate loaded)|Lats|Latissimus Dorsi|Lever (plate loaded)|Grasp lever bar with wide grip. Sit with thighs under supports.Pull lever bar down behind neck. Return until arms and shoulders are fully extended. Repeat.|Basic|https://www.rocketdogrescue.org/wp-content/uploads/2016/08/dog-working-out.jpg|False
Inverted Row (feet elevated)|Back|Trapezius, Middle|Body Weight|Lay on back under fixed horizontal bar. Grasp bar with wide overhand grip. Place back of heels on elevated surface.Keeping body straight, pull body up to bar. Return until arms are extended and shoulders are stretched forward. Repeat.Fixed bar should be just high enough to allow arm to fully extend. Placing back of heels on elevated surface is optional. This exercise is typically performed without added resistance, although additional weight can be placed on belly or pelvis. Partner can add and remove weight, and keep weight from sliding off belly. Resistance can be reduced by raising bar and positioning heels on floor. SeeResistance can be reduced by placing feet on floor.This exercise is typically performed without added resistance, although additional weight can be placed on belly or pelvis.|Basic|https://www.rocketdogrescue.org/wp-content/uploads/2016/08/dog-working-out.jpg|False
Barbell Drag Curl|Biceps|Biceps Brachii|Barbell|Grasp bar with shoulder width underhand grip.Raise barbell straight up so elbows travel back as elbows flex. Follow contour of hips and waist. As elbows continues to flex, begin bringing elbows forward when forearms rises past horizontal position. Continue upward over chest until forearms are perpendicular. Lower until arms are fully extended. Repeat.|Basic|https://www.rocketdogrescue.org/wp-content/uploads/2016/08/dog-working-out.jpg|False
Dumbbell Concentration Curl|Brachialis|Brachialis|Dumbbell|Sit on bench. Grasp dumbbell between feet. Place back of upper arm to inner thigh. Lean into leg to raise elbow slightly.Raise dumbbell to front of shoulder. Lower dumbbell until arm is fully extended. Repeat. Continue with opposite arm.|Basic|https://www.rocketdogrescue.org/wp-content/uploads/2016/08/dog-working-out.jpg|False
Cable Seated Pullover|Lats|Latissimus Dorsi|Cable|Sit on bench facing away from cable pulley apparatus. Grasp revolving cable attachment over head with overhand grip.With elbows fixed with slight bend, pull cable attachment forward and down as far as possible. Return cable attachment forward and overhead. Repeat.|Basic|https://www.rocketdogrescue.org/wp-content/uploads/2016/08/dog-working-out.jpg|False
Lever One Arm Front Raise|Front Delt|Deltoid, Anterior|Lever (selectorized)|Stand with lever to side, fulcrum approximately shoulder height and handle just below hip. Grasp lever handle with elbow straight or slightly bent.Raise lever handle forward and upward until upper arm is well above horizontal. Lower and repeat. Repeat with opposite arm.|Basic|https://www.rocketdogrescue.org/wp-content/uploads/2016/08/dog-working-out.jpg|False
Standing Single Leg Hamstring Stretch|Hamstrings|Quadriceps|Stretch|Sand with on foot forward and rear foot pointing out. Bend over and brace torso by placing hand just above bent rear knee.Lean down and bend rear knee further. Hold stretch. Repeat with opposite leg.|Basic|https://www.rocketdogrescue.org/wp-content/uploads/2016/08/dog-working-out.jpg|False
Smith Rear Delt Row|Rear Delt|latissimus dorsi|Smith|Stand near low smith bar. Bend knees and bend over bar with back straight. Grasp bar with wide   overhand grip. Disengage bar by rotating bar back.Keeping upper arm perpendicular to torso, pull bar up toward upper chest until upper arms are just beyond parallel to floor. Return and repeat.|Basic|https://www.rocketdogrescue.org/wp-content/uploads/2016/08/dog-working-out.jpg|False
Lying Adductor Magnus Stretch|Adductor Magnus|Gluteus Maximus|Stretch|Lie supine on floor or mat. Raise knees and grasp back of thighs behind knees.Pull knee toward shoulders or to side of torso while keeping opposite leg on floor. Hold stretch.|Basic|https://www.rocketdogrescue.org/wp-content/uploads/2016/08/dog-working-out.jpg|False
Lever Kneeling Hip Extension|Glute|Gluteus Maximus|Hip Extensions|Kneel on lowest (shin) pad with roller pad behind lower thighs. Position midsection on middle pad. Place forearms on padded arm rest and grip handles.Keeping one leg on shin pad, extend hip of other leg and push roller pad back. Raise roller pad up until hip is completely extended. Return leg to original position and repeat. Continue with opposite leg.|Basic|https://www.rocketdogrescue.org/wp-content/uploads/2016/08/dog-working-out.jpg|False
Seated Hip External Rotator Stretch|External Rotators|External Hip Rotators|Stretch|Sit on floor or mat and with one leg straight and other leg bent approximately 90 degrees out to side.Lower bent knee beside straight leg. Hold stretch. Repeat with opposite side.|Basic|https://www.rocketdogrescue.org/wp-content/uploads/2016/08/dog-working-out.jpg|False
Barbell Shoulder Press|Front Delt|Deltoid, Anterior|Barbell|Grasp barbell with slightly wider than shoulder width overhand grip from rack. Position bar near upper chest.Press bar upward until arms are extended overhead. Return to upper chest and repeat.|Basic|https://www.rocketdogrescue.org/wp-content/uploads/2016/08/dog-working-out.jpg|False
Hyperextension (arms crossed)|Low Back|Erector Spinae|Bodyweight|Position thighs prone on large pad and lower legs under padded brace. Cross arms on chest.Raise upper body until hips and waist are extended. Lower body by bending hips and waist until mild stretch is felt or torso is vertical. Repeat.|Basic|https://www.rocketdogrescue.org/wp-content/uploads/2016/08/dog-working-out.jpg|False
PNF Overhead Lat Stretch|Lats|Latissimus Dorsi|Stretch|Instruct participant to stand or sit on floor, chair, or bench and place arm overhead. Standing behind participant, grasp their wrist and position their forearm behind their head.Pull participant's wrist toward back of shoulder. Lean torso to side, away from direction of arm behind head. Hold stretch. Repeat with opposite arm.|Basic|https://www.rocketdogrescue.org/wp-content/uploads/2016/08/dog-working-out.jpg|False
Standing Single Leg Hamstring Stretch (Bench)|Hamstrings|Quadriceps|Stretch|Place foot on bench or elevation.Reach toward foot on bench or bring torso toward leg. Hold stretch. Repeat with opposite leg.|Basic|https://www.rocketdogrescue.org/wp-content/uploads/2016/08/dog-working-out.jpg|False
Rear Delt Inverted Row|Rear Delt|Latissimus Dorsi|Body Weight|Stand facing horizontal bar positioned waist to lower chest height. Grasp bar with wide overhand grip. Step back until arms are straight. Walk forward under bar until arms are perpendicular to extended body. With heels on floor, position body at angle under bar with legs, hips and spine straight.Pull shoulders toward bar while keeping body straight, elbows to sides of shoulders, and upper arms perpendicular to torso, until upper arms are parallel to one another, or just beyond. Lower body while keeping elbows positioned high to sides of shoulders until arms are extended straight. Repeat.If elbows fall so upper arms no longer travel perpendicular to trunk,|Basic|https://www.rocketdogrescue.org/wp-content/uploads/2016/08/dog-working-out.jpg|False
Barbell Rear Delt Row|Rear Delt|latissimus dorsi|Barbell|Bend knees slightly and bend over bar with back straight, approximately horizontal. Grasp bar with wide overhand grip.Keeping upper arm perpendicular to torso, pull barbell up toward upper chest until upper arms are just beyond horizontal. Return and repeat.If upper arm travels closer than perpendicular to trunk,|Basic|https://www.rocketdogrescue.org/wp-content/uploads/2016/08/dog-working-out.jpg|False
Lever Seated Fly|Chest|Pectoralis Major, Sternal|Flies|Sit on machine with back on pad. Grasp handles to both sides, shoulder height. Slightly bend elbows and internally rotate shoulders so elbows are back.Keeping elbows pointed high, push lever handles forward and together. Return to back toward original position until mild stretch is felt in chest or shoulder. Repeat.|Basic|https://www.rocketdogrescue.org/wp-content/uploads/2016/08/dog-working-out.jpg|False
Wall Front Neck Bridge|Neck|Sternocleidomastoid|Body Weight|Place small or folded cushioned mat on wall or column approximately chest height. With hands supporting mat on each side, stand back so feet are away from wall or column with body leaning forward. Place top of forehead on mat. Fold hands behind low back or hips.Roll down onto forehead until nose touches mat. Roll up onto top of head until chin touches upper chest. Repeat.Keep body somewhat straight bending spine and hips slightly as head rolls down. Exercise involves neck flexors as well as neck extensors. See|Basic|https://www.rocketdogrescue.org/wp-content/uploads/2016/08/dog-working-out.jpg|False
Suspended Chest Dip|Chest|Pectoralis Major, Sternal|Suspended|Stand between two suspension handles and grasp handles on each side of torso. Hold position firmly and lift feet from floor.Push body up until arms are straight. Lower body until slight stretch is felt in shoulders. Repeat.|Basic|https://www.rocketdogrescue.org/wp-content/uploads/2016/08/dog-working-out.jpg|False
Safety Barbell Squat|Glute|Gluteus Maximus|Barbell|Standing facing safety barbell on rack upper chest height. Position head in yoke with padded bar around shoulders. Hands can be placed on ends of yoke (as shown) or on safety bar out to sides. Dismount bar from rack and step back.Squat down by bending hips back while allowing knees to bend slightly forward, keeping back straight and knees pointed same direction as feet. Descend until thighs are just past parallel to floor. Stand by extending hips and knees until legs are straight. Repeat.|Basic|https://www.rocketdogrescue.org/wp-content/uploads/2016/08/dog-working-out.jpg|False
Lever Single Leg Seated Leg Press (plate loaded)|Glute|Gluteus Maximus|Leg Presses|Sit on machine with back on padded support. Place one foot slightly high on platform and other foot near floor below platform or off to side.ExecutionPush platform away by extending hip and knee. Return by bending leg until knee or hip is just short of complete flexion. Repeat. Continue with opposite leg.|Basic|https://www.rocketdogrescue.org/wp-content/uploads/2016/08/dog-working-out.jpg|False
Kneeling Calf Stretch|Inner Calf|Soleus|Stretch|Kneel on lower leg. Place foot of opposite leg flat on floor.Lean forward so knee travels beyond toes. Hold stretch . Repeat with opposite leg.|Basic|https://www.rocketdogrescue.org/wp-content/uploads/2016/08/dog-working-out.jpg|False
Lever Barbell Shoulder Press (plate loaded)|Front Delt|Deltoid, Anterior|Lever (plate loaded)|Sit on bench with bar positioned in front of shoulders. Grasp bar with wide overhand grip. Disengage bar by rotating bar back.Press bar upward until arms are extended overhead. Lower bar to front of shoulders and repeat.|Basic|https://www.rocketdogrescue.org/wp-content/uploads/2016/08/dog-working-out.jpg|False
Cable Standing Leg Curl|Hamstrings|Hamstrings|Cable|AttachPull cable attachment back by flexing knee until knee is fully flexed. Return by straightening knee to original position and repeat. Continue with opposite leg.|Basic|https://www.rocketdogrescue.org/wp-content/uploads/2016/08/dog-working-out.jpg|False
Lever 45° Calf Press (plate loaded)|Calf|Gastrocnemius|Lever (plate loaded)|Sit on seat with back on padded support. Place feet on platform. Grasp handles to sides and extend hips and knees. Place toes and balls of feet on lower portion of platform with heels and arches extending off.Push platform by extending ankles as far as possible. Return by bending ankles until calves are stretched. Repeat.|Basic|https://www.rocketdogrescue.org/wp-content/uploads/2016/08/dog-working-out.jpg|False
Lever Shoulder External Rotation (plate loaded)|External Rotators|Wrist Extensors|Lever (plate loaded)|Lie supine on section of bench nearest pads to each side. Position body so shoulders and elbows are aligned to fulcrum on each side. Place wrists or back of hands on under upper set of pads to each side.Pull both lever arms back and down as far as possible to each side of head by simultaneously rotating upper arms. Lower lever arms to original position and repeat.|Basic|https://www.rocketdogrescue.org/wp-content/uploads/2016/08/dog-working-out.jpg|False
Barbell Alternating Lunge & Rear Lunge|Quads|Quadriceps|Barbell|Stand facingLunge forward with right leg. Land on heel, then forefoot. Lower body by flexing knee and hip of right front leg until knee of rear left leg is almost in contact with floor. Forcibly extending hip and knee of forward right leg to return to original standing position.|Basic|https://www.rocketdogrescue.org/wp-content/uploads/2016/08/dog-working-out.jpg|False
Handstand Push-up (between benches)|Front Delt|Deltoid, Anterior|Body Weight|Stand facing wall between two benches positioned side by side, slightly apart, and slightly away and perpendicular to wall. Place hands on ends of benches closest to wall. Place forefeet on bench and kick lower body up to handstand position with arms and legs straight. Maintain balance with lower body against wall.Lower head between ends of benches by bending arms. Push body back up to original position by extending arms. Repeat.Benches must be secured to prevent sliding on floor. Also, each benches' base of support should be under edge of bench where hand is placed to prevent bench toppling under body weight. Falling from inverted position may result in very serious injury. Also known as Elevated Handstand Push-up.|Basic|https://www.rocketdogrescue.org/wp-content/uploads/2016/08/dog-working-out.jpg|False
Sled Single Leg 45° Leg Press|Glute|Gluteus Maximus|Leg Presses|Sit on machine with back on padded support. Place one foot high up on platform and other foot on floor below platform. Extend hip and knee. Release dock lever and grasp handles to sides.Lower sled by bending leg until knee is just short of complete flexion. Return by extending knee and hip. Repeat. Continue with opposite leg.|Basic|https://www.rocketdogrescue.org/wp-content/uploads/2016/08/dog-working-out.jpg|False
Lever Seated Shrug (plate loaded)|Traps|Trapezius, Upper|Lever (plate loaded)|Sit on bench and grasp lower handles to each side. Sit upright.Elevate shoulders as high as possible. Lower and repeat.|Basic|https://www.rocketdogrescue.org/wp-content/uploads/2016/08/dog-working-out.jpg|False
Cable One Arm Preacher Curl|Brachialis|Brachialis|Cable|Grasp cable stirrup. Sit on preacher bench placing back of arm on pad with palm up.Raise stirrup upward toward shoulder of same arm. Lower stirrup until arm is fully extended. Repeat.|Basic|https://www.rocketdogrescue.org/wp-content/uploads/2016/08/dog-working-out.jpg|False
Dumbbell Kickback|Triceps|Triceps Brachii|Dumbbell|Kneel over bench with arm supporting body. Grasp dumbbell. Position upper arm parallel to floor.Extend arm until it is straight. Return and repeat. Continue with opposite arm.|Basic|https://www.rocketdogrescue.org/wp-content/uploads/2016/08/dog-working-out.jpg|False
Cable Decline Triceps Extension|Triceps|Triceps Brachii|Cable|Position legs under lower leg pad and lie back on bench. Grasp bar with narrow overhand grip. Position bar near forehead or top of head.Extend elbows to raise bar attachment until arms are straight. As arms extended, position them vertically. Lower bar by bending elbows. As bar nears head, reposition elbows back just enough to allow bar to clear around curvature of head. Repeat.|Basic|https://www.rocketdogrescue.org/wp-content/uploads/2016/08/dog-working-out.jpg|False
Weighted Lying Hip Adduction|Adductors|Adductors, Hip|Weighted|Sit on floor or mat with bar, weight plates loaded on one side. Sit on hip with knees bent and place bar on inside of shoe with weight plate beyond foot. Holding on to opposite end of bar, lie on side with weighted leg extended out straight and upper leg extended behind.Raise weighted leg up off floor as high as possible while balanciong bar inside of foot and holding onto nearest side of bar. Return to floor and repeat. Repeat and continue with opposite leg.|Basic|https://www.rocketdogrescue.org/wp-content/uploads/2016/08/dog-working-out.jpg|False
Suspended Triceps Extension (with rope)|Triceps|Triceps Brachii|Suspended|Grasp triceps rope hanging from secured bar (chest height or lower). Position forefeet on floor, back from bar with body straight. Elbows can be either be completely bent or straight during mount with upper arms somewhat perpendicular with body.Keeping body straight, raise body up and back up until arms are extended. Lower body by bending elbows, allowing head to travel between ends of rope. Repeat.Instead of 1|Basic|https://www.rocketdogrescue.org/wp-content/uploads/2016/08/dog-working-out.jpg|False
Sled Single Leg 45° Reverse Calf Press|Shin|Tibialis Anterior|Sled|Sit on seat with back on padded support. Place feet very high on platform, grasp handles to sides, and extend knees. Position one foot on floor within machine.Pull forefoot back toward body as far as possible while pushing platform with heel. Return foot down to platform and repeat.|Basic|https://www.rocketdogrescue.org/wp-content/uploads/2016/08/dog-working-out.jpg|False
Cable Bar Shoulder Press|Front Delt|Deltoid, Anterior|Cable Bar|Stand facing cable bar mounted on each side to upper waist height narrow double pulley cables. Grasp cable bar with wide overhand grip and position upper chest height. Stand directly between both cable pulleys with one foot forward and other foot back.Press cable bar upward until arms are extended overhead. Return to upper chest and repeat.|Basic|https://www.rocketdogrescue.org/wp-content/uploads/2016/08/dog-working-out.jpg|False
Band-assisted Open Centered Pull-up|Lats|Latissimus Dorsi|Band-assisted|Grab each side of hanging exercise band with both hands. Stretch exercise band down and place bent knee inside of band. Stretch band down further by pointing knee downward. Reach up and grasp bars to each side with wide overhand grip.Pull body up until neck reaches height of hands. Lower body until arms and shoulders are fully extended. Repeat.|Basic|https://www.rocketdogrescue.org/wp-content/uploads/2016/08/dog-working-out.jpg|False
Lever Alternating Calf Extension|Calf|Quadriceps|Lever (selectorized)|Sit on seat and position forefeet on pedals. Grasp handles to sides and straighten knees.Push left pedal by extending ankle as far as possible while allowing right pedal to return back until calf is stretched. Reverse motion by pushing right pedal and allowing left pedal to return back. Continue to alternate motion.|Basic|https://www.rocketdogrescue.org/wp-content/uploads/2016/08/dog-working-out.jpg|False
Vertical Leg-Hip Raise (parallel bars)|Abs|Rectus Abdominis|Leg-Hip Raises|Stand between parallel bars and grip bar on each side with overhand grip. Lift body off floor and balance body upright with arms straight.Raise legs by flexing hips and knees until hips are fully flexed. Continue to raise knees toward shoulders by flexing waist. Return until waist, hips, and knees are extended. Repeat.This exercise is alternative to|Basic|https://www.rocketdogrescue.org/wp-content/uploads/2016/08/dog-working-out.jpg|False
Suspended Pull Through|Abs|Rectus Abdominis|Suspended|Sit on floor with feet under suspension trainer loops in low position. Reach and grasp bottom of loops and lay back supine. Raise legs and place heels in loops with soles contacting handles (or ankles through loops as shown). Extend legs out straight. Sit up and place hands on floor to sides at desired distance from suspension trainer. Raise hips from floor supporting upper body with arms.Pull hips back while flexing spine in C shape. Raise hips up high by straightening spine and hips until straight.This exercise can be performed on TRXⓇ style suspension trainer. See|Basic|https://www.rocketdogrescue.org/wp-content/uploads/2016/08/dog-working-out.jpg|False
Lever Reverse Wrist Curl|Wrist Extensors|Wrist Extensors|Lever (selectorized)|Grasp handles with overhand grip to each side. Place forearms on arm pads.Raise handles until wrist is fully hyperextended. Lower handles until wrists are fully flexed. Repeat.|Basic|https://www.rocketdogrescue.org/wp-content/uploads/2016/08/dog-working-out.jpg|False
Lever Lying Leg Press (plate loaded)|Glute|Gluteus Maximus|Leg Presses|Climb up steps to top of machine. Lie supine on horizontal padded platform with shoulders against pad. Place feet equally spaced and slightly high on platform. Grip handles above shoulder pads.Push lever platform away by extending hips and knees until knees are straight. Return lever platform by flexing hips and knees until knees are just short of complete flexion or until hips are completely flexed. Repeat.|Basic|https://www.rocketdogrescue.org/wp-content/uploads/2016/08/dog-working-out.jpg|False
Lever Roller Wrist Extension|Wrist Extensors|Wrist Extensors|Lever (selectorized)|Grasp wrist roller handle with both hands; over hand grip.With left hand gripping handle, relax grip of right hand and slide grip in front of handle (by flexing wrist) and regrip. Relax grip of left hand and hyperextend right wrist. Repeat sequence with opposite hands, alternating back and forth until weight plate has raised up near hands. Lower weight steadily with opposite movement or loosen grip slightly to control descent of weight stack. Repeat.|Basic|https://www.rocketdogrescue.org/wp-content/uploads/2016/08/dog-working-out.jpg|False
